DNASource,BioSample,Identifer,Country,Year,Serovar,cgMLST,ST,ResistGene,Host,SampleSource
SRR6337139,SAMN08025800,FDA1020545-S024-001,USA,2017,,4199,7,"fosX, lin",,Environmental swab
SRR6420467,SAMN08240019,PNUSAL003676,USA,,,4200,204,"abc-f, fosX, lin",,
SRR2035193,SAMN03658206,PNUSAL001451,USA,,1/2a,4201,1801,"fosX, lin",,Blood
SRR3345856,SAMN04599963,CFSAN045860,Italy,2014,,4202,121,"fosX, lin",,Smoked salmon
SRR7345634,SAMN08951148,FLAG-2967,USA,1999,,4203,5,"fosX, lin",,Cuban Sandwich
SRR1805450,SAMN03277734,NRRL B-33820,,2006,1/2a,4204,1078,"fosX, lin",Homo sapiens,
ERR2261324,SAMEA104485052,10-03443,Germany,2010,2c,4205,9,"abc-f, fosX, lin",Homo sapiens,Human listeriosis
ERR2521123,SAMEA4585951,,Germany,2010,,4205,9,"abc-f, fosX, lin",Homo sapiens,
SRR2542474,SAMN03702792,TX-854428.SUB.4,USA,2014,,4206,224,"fosX, lin",,Avocado
SRR2057360,SAMN02923169,FDA641168 71-1,USA,2011,,4207,819,"fosX, lin",,Environmental swab
ERR1100952,SAMEA3540901,LM83088,,,,4208,19,"abc-f, fosX, lin",,
SRR1043174,SAMN02429382,PNUSAL000442,USA,2013,4b,4209,843,"fosX, lin",,Blood
SRR5378782,SAMN02923435,FDA116971-2,USA,2001,,4210,3,"fosX, lin",,Spreadable cheese
SRR1027083,SAMN02400155,PNUSAL000345,USA,,,4211,663,"fosX, lin",,
SRR1695790,SAMN03253335,PNUSAL001128,USA,2014,1/2a,4212,369,"abc-f, fosX, lin",,Blood
SRR5616376,SAMN07172060,PNUSAL002987,USA,,,4213,1925,"abc-f, fosX, lin",,
SRR5631586,SAMN07179447,PNUSAL002987,USA,,,4213,1925,"abc-f, fosX, lin",,
ERR1738670,SAMEA4475768,03EB246LM,France,2003,IIa,4214,155,"fosX, lin",,Food
SRR3724805,SAMN05296858,PNUSAL002259,USA,,,4215,429,"fosX, lin",,
SRR5057467,SAMN06064344,PNUSAL002659,USA,2016,4b,4216,554,"fosX, lin",,Blood
SRR3109049,SAMN04331251,LiDS0207,Canada,2011,,4217,9,"abc-f, fosX, lin",,Food; Ready-to-eat Meat and Poultry; Raw-fermented - Salami - Italian sausage; Fermented
ERR1738665,SAMEA4475763,03EB120LM,France,2003,IIc,4218,9,"abc-f, fosX, lin",,Food
SRR3182726,SAMN04507501,FSIS1605816,USA,2016,,4219,9,"abc-f, fosX, lin",,Product-Swab-Non meat
SRR4052221,SAMN05615291,23031,United Kingdom,2013,1/2b,4220,3,"fosX, lin",Homo sapiens,Human
